relationship_id,start_id,end_id,relationship_type,predicate_zh,start_name,end_name,source
relgen_8afe23971699b85b284b,entity_CP_CC_018,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红地描金开窗花卉纹水注,彩瓷,广东民间工艺博物馆官网
relgen_24b1b9ac1a4c4486b2f0,entity_CP_CC_019,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红地描金蝉纹梅瓶,彩瓷,广东民间工艺博物馆官网
relgen_98f253191f5740e3ef0d,entity_CP_CC_020,category_CC,BELONGS_TO,属于,景德镇窑粉彩菊纹双螭耳瓶,彩瓷,广东民间工艺博物馆官网
relgen_1918aa17cf6f42776f84,entity_CP_CC_021,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红地五蝠拱寿纹大盘,彩瓷,广东民间工艺博物馆官网
relgen_a853294d7022a72d8001,entity_CP_CC_022,category_CC,BELONGS_TO,属于,景德镇窑粉彩万花纹葫芦瓶,彩瓷,广东民间工艺博物馆官网
relgen_b45ad5396bfac4dbdd9f,entity_CP_CC_023,category_CC,BELONGS_TO,属于,景德镇窑粉彩牛郎织女图梅瓶,彩瓷,广东民间工艺博物馆官网
relgen_7115e1997c9f7da553d7,entity_CP_CC_024,category_CC,BELONGS_TO,属于,景德镇窑粉彩花鸟纹花盆,彩瓷,广东民间工艺博物馆官网
relgen_dccf2dbf245b37e2323f,entity_CP_CC_025,category_CC,BELONGS_TO,属于,景德镇窑黄地云蝠纹扁葫芦瓶,彩瓷,广东民间工艺博物馆官网
relgen_ece83f8cc2aaa98d7019,entity_CP_CC_026,category_CC,BELONGS_TO,属于,景德镇窑锦地粉彩儿童耍乐图罐,彩瓷,广东民间工艺博物馆官网
relgen_5fc8761b54371923a980,entity_CP_CC_027,category_CC,BELONGS_TO,属于,景德镇窑万花地开窗山水纹双象耳瓶,彩瓷,广东民间工艺博物馆官网
relgen_25a94a5357f1265a2b16,entity_CP_CC_028,category_CC,BELONGS_TO,属于,景德镇窑墨彩山水纹笔筒,彩瓷,广东民间工艺博物馆官网
relgen_8e12308213bae363d0e6,entity_CP_CC_029,category_CC,BELONGS_TO,属于,景德镇窑锦边粉彩人物纹双兽头耳天球瓶,彩瓷,广东民间工艺博物馆官网
relgen_ec86ce6bc0c0f4957ee5,entity_CP_CC_030,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红地缠枝莲开窗写字盖罐,彩瓷,广东民间工艺博物馆官网
relgen_fd35027c5a0f8b73b276,entity_CP_CC_031,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红地描金开窗粉彩花鸟纹碟,彩瓷,广东民间工艺博物馆官网
relgen_05516413880b9150c687,entity_CP_CC_032,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红地珐琅彩花卉纹碗,彩瓷,广东民间工艺博物馆官网
relgen_00721ffc0f753524b006,entity_CP_CC_033,category_CC,BELONGS_TO,属于,景德镇窑黄地开窗粉彩花鸟纹瓶,彩瓷,广东民间工艺博物馆官网
relgen_6644322348409c4e9bcf,entity_CP_CC_034,category_CC,BELONGS_TO,属于,景德镇窑万花地开窗墨彩山水纹双耳瓶,彩瓷,广东民间工艺博物馆官网
relgen_e92d665be4e69da45942,entity_CP_CC_035,category_CC,BELONGS_TO,属于,景德镇窑粉彩花卉纹宝字瓶,彩瓷,广东民间工艺博物馆官网
relgen_5e38c7eb623143584382,entity_CP_CC_036,category_CC,BELONGS_TO,属于,景德镇窑五彩花鸟纹琮瓶,彩瓷,广东民间工艺博物馆官网
relgen_a74ea64f62022437334f,entity_CP_CC_037,category_CC,BELONGS_TO,属于,景德镇窑豆青地云蝠开窗诗文葫芦瓶,彩瓷,广东民间工艺博物馆官网
relgen_219f4640df9bb301b740,entity_CP_CC_038,category_CC,BELONGS_TO,属于,景德镇窑珊瑚红地开窗花卉纹花盆,彩瓷,广东民间工艺博物馆官网
relgen_fa6e4dc3ad408442a06e,entity_CP_CC_039,category_CC,BELONGS_TO,属于,景德镇窑缠枝花地开窗鸡纹双耳瓶,彩瓷,广东民间工艺博物馆官网
relgen_74cd770f6d9192392f2d,entity_CP_CC_040,category_CC,BELONGS_TO,属于,景德镇窑乌金地团龙凤纹胆瓶,彩瓷,广东民间工艺博物馆官网
relgen_afdb888161c7bffb6e12,entity_CP_CC_041,category_CC,BELONGS_TO,属于,景德镇窑粉彩公孙图瓶,彩瓷,广东民间工艺博物馆官网
relgen_3586b19a2a104080fec9,entity_CP_CC_042,category_CC,BELONGS_TO,属于,景德镇窑粉彩麻姑祝寿图瓶,彩瓷,广东民间工艺博物馆官网
